"","timestamp_fixed","cat","altitude_ft","altitude_m","cap","external_adc","humid","lat","lng","long","oxid_gas","prec_gas","pressure","reduc_gas","speed","t_amb","t_ext","t_int","t_ired","temp_ired","volt","timestamp_offset"
"1","2016-04-16 13:03:51","HAB_2",436,132.8928,2703,1.628,47.8,38.5091666666667,-89.6255555555556,NA,8027,-7.4,100924,135296,NA,90.1,NA,NA,88.9,NA,NA,0
"3","2016-04-16 13:04:51","HAB_2",556,169.4688,2719,1.617,44.7,38.5102777777778,-89.6272222222222,NA,7745,-7.5,100536,140107,NA,90.9,NA,NA,63,NA,NA,60
"4","2016-04-16 13:05:51","HAB_2",723,220.3704,2688,1.455,41.2,38.5144444444444,-89.6341666666667,NA,8184,-6.8,96896,144566,NA,87.7,NA,NA,106.9,NA,NA,120
"8","2016-04-16 13:06:51","HAB_2",2231,680.0088,2688,1.604,41.6,38.5158333333333,-89.6394444444444,NA,8716,-7.6,93916,157386,NA,84.2,NA,NA,45.6,NA,NA,180
"14","2016-04-16 13:07:51","HAB_2",3490,1063.752,2672,1.459,43.4,38.5208333333333,-89.6344444444445,NA,9019,-6.5,90196,167361,NA,80.3,NA,NA,76.9,NA,NA,240
"15","2016-04-16 13:08:51","HAB_2",3736,1138.7328,2656,1.457,38.8,38.52,-89.6416666666667,NA,10058,-6.4,87296,178721,NA,76.1,NA,NA,24.2,NA,NA,300
"17","2016-04-16 13:09:51","HAB_2",4052,1235.0496,2641,1.515,30.9,38.5336111111111,-89.6527777777778,NA,11436,-5.5,84100,187069,NA,73.7,NA,NA,91.4,NA,NA,360
"24","2016-04-16 13:10:51","HAB_2",6006,1830.6288,2625,1.528,32.6,38.5441666666667,-89.6527777777778,NA,12036,-5.3,80776,200890,NA,71.4,NA,NA,33.2,NA,NA,420
"28","2016-04-16 13:11:51","HAB_2",7107,2166.2136,2610,1.546,30.1,38.5447222222222,-89.6627777777778,NA,12521,-5,77356,212816,NA,67.4,NA,NA,14.7,NA,NA,480
"36","2016-04-16 13:12:51","HAB_2",9088,2770.0224,2594,1.573,28,38.5516666666667,-89.6694444444445,NA,13730,-4.6,74096,218577,NA,65.4,NA,NA,6.4,NA,NA,540
"37","2016-04-16 13:13:51","HAB_2",9267,2824.5816,2578,1.531,30.3,38.5505555555556,-89.6769444444444,NA,14286,-4.7,71248,227368,NA,61.9,NA,NA,47.4,NA,NA,600
"42","2016-04-16 13:14:51","HAB_2",10687,3257.3976,2563,1.578,32,38.5586111111111,-89.6675,NA,15038,-4.3,68436,245935,NA,59,NA,NA,-4.5,NA,NA,660
"44","2016-04-16 13:15:51","HAB_2",10904,3323.5392,2547,1.564,28.2,38.5666666666667,-89.6677777777778,NA,16030,-4.3,65876,258008,NA,56,NA,NA,12.2,NA,NA,720
